name,value,posX,posY,size,angle
0,3093.0,,,,
,-1.0,14113.087,2627.8389,100.0,0.0
,-1.0,4217.3115,3049.9246,100.0,0.0
,-1.0,7600.4453,1516.2948,100.0,0.0
,-1.0,2550.551,12075.929,100.0,0.0
,-1.0,13987.188,14046.417,100.0,0.0
,-1.0,366.87164,8805.818,100.0,0.0
,-1.0,8712.909,3022.4355,100.0,0.0
,-1.0,13720.616,12149.703,100.0,0.0
,-1.0,12763.97,14342.765,100.0,0.0
,-1.0,6283.9473,3406.966,100.0,0.0
,-1.0,14410.999,11622.097,100.0,0.0
,-1.0,9538.968,3687.695,100.0,0.0
,-1.0,14903.216,12209.094,100.0,0.0
,-1.0,10399.592,3179.4404,100.0,0.0
,-1.0,1081.8091,1418.4684,100.0,0.0
,-1.0,10143.297,164.406,100.0,0.0
,-1.0,5395.0186,3880.958,100.0,0.0
,-1.0,940.0204,1951.8542,100.0,0.0
,-1.0,12395.503,1337.2896,100.0,0.0
,-1.0,10045.465,2307.4749,100.0,0.0
,-1.0,2623.946,7341.003,100.0,0.0
,-1.0,10806.429,14585.799,100.0,0.0
,-1.0,3875.7356,6509.199,100.0,0.0
,-1.0,12699.068,2427.5063,100.0,0.0
,-1.0,13799.285,2537.764,100.0,0.0
,-1.0,3887.4006,5251.605,100.0,0.0
,-1.0,8835.055,6493.2856,100.0,0.0
,-1.0,8229.647,2984.0586,100.0,0.0
,-1.0,1069.4781,12216.44,100.0,0.0
,-1.0,13262.837,5707.3794,100.0,0.0
,-1.0,9978.013,12603.736,100.0,0.0
,-1.0,1088.0005,11941.835,100.0,0.0
,-1.0,14593.983,7004.6655,100.0,0.0
,-1.0,12532.254,10637.615,100.0,0.0
,-1.0,7304.9917,6555.0693,100.0,0.0
,-1.0,2719.8494,8729.358,100.0,0.0
,-1.0,6087.254,3573.6716,100.0,0.0
,-1.0,3993.413,4730.1963,100.0,0.0
,-1.0,9686.883,8065.3774,100.0,0.0
,-1.0,5026.956,2757.1992,100.0,0.0
,-1.0,5565.505,11212.935,100.0,0.0
,-1.0,5281.452,8973.918,100.0,0.0
,-1.0,12794.901,4951.185,100.0,0.0
,-1.0,11967.349,1582.3647,100.0,0.0
,-1.0,9537.482,1521.4679,100.0,0.0
,-1.0,14419.268,2081.0178,100.0,0.0
,-1.0,3351.9763,1430.4989,100.0,0.0
,-1.0,5408.66,1290.0138,100.0,0.0
,-1.0,7055.1924,1619.0144,100.0,0.0
,-1.0,9079.4795,7227.4385,100.0,0.0
,-1.0,2888.8955,12749.393,100.0,0.0
,-1.0,13998.711,6456.7656,100.0,0.0
,-1.0,9835.535,3310.7625,100.0,0.0
,-1.0,6877.809,13624.089,100.0,0.0
,-1.0,13797.588,1345.8601,100.0,0.0
,-1.0,11199.161,6232.936,100.0,0.0
,-1.0,2782.1812,12418.121,100.0,0.0
,-1.0,2049.3499,14849.965,100.0,0.0
