name,value,posX,posY,size,angle
0,2342.0,,,,
,-1.0,12514.903,7050.7334,100.0,0.0
,-1.0,4727.8853,13508.766,100.0,0.0
,-1.0,1358.2072,7066.917,100.0,0.0
,-1.0,14567.552,5613.834,100.0,0.0
,-1.0,8703.562,7419.3926,100.0,0.0
,-1.0,14434.203,8812.112,100.0,0.0
,-1.0,8090.6743,1896.1161,100.0,0.0
,-1.0,9397.815,14810.617,100.0,0.0
,-1.0,1156.3646,5951.02,100.0,0.0
,-1.0,4146.478,4493.088,100.0,0.0
,-1.0,8542.731,8457.019,100.0,0.0
,-1.0,13566.473,14816.014,100.0,0.0
,-1.0,9656.227,2935.102,100.0,0.0
,-1.0,3660.8936,13995.102,100.0,0.0
,-1.0,3514.2947,8607.313,100.0,0.0
,-1.0,5969.477,9379.402,100.0,0.0
,-1.0,1755.8348,2337.9492,100.0,0.0
,-1.0,1256.4755,1972.5135,100.0,0.0
,-1.0,9877.343,807.02576,100.0,0.0
,-1.0,4754.4346,11974.218,100.0,0.0
,-1.0,6363.6216,10441.801,100.0,0.0
,-1.0,13126.254,14062.692,100.0,0.0
,-1.0,4945.558,1726.6542,100.0,0.0
,-1.0,206.76166,3044.8713,100.0,0.0
,-1.0,5681.838,7951.5625,100.0,0.0
,-1.0,11163.543,7895.6016,100.0,0.0
,-1.0,12230.341,849.22314,100.0,0.0
,-1.0,2364.4854,1056.4265,100.0,0.0
,-1.0,13961.554,11436.93,100.0,0.0
,-1.0,2830.612,12940.852,100.0,0.0
,-1.0,6742.8677,11919.881,100.0,0.0
,-1.0,3795.4912,7210.1514,100.0,0.0
,-1.0,9171.208,9347.814,100.0,0.0
,-1.0,679.76385,3154.4565,100.0,0.0
,-1.0,13993.012,5638.6084,100.0,0.0
,-1.0,9548.164,8097.2646,100.0,0.0
,-1.0,6775.975,13304.793,100.0,0.0
,-1.0,12158.399,2593.6309,100.0,0.0
,-1.0,10795.959,2127.4111,100.0,0.0
,-1.0,4582.2886,2316.1045,100.0,0.0
,-1.0,3394.491,11923.957,100.0,0.0
,-1.0,7609.8955,5217.6978,100.0,0.0
,-1.0,7926.019,14432.811,100.0,0.0
,-1.0,14001.702,11174.648,100.0,0.0
,-1.0,7137.6147,7086.912,100.0,0.0
,-1.0,881.15753,10986.801,100.0,0.0
,-1.0,4554.6313,10647.712,100.0,0.0
,-1.0,3143.6106,40.723083,100.0,0.0
,-1.0,5940.7104,6311.765,100.0,0.0
,-1.0,2665.4756,11107.374,100.0,0.0
,-1.0,7275.7466,12153.73,100.0,0.0
,-1.0,3031.608,10686.429,100.0,0.0
,-1.0,5176.5312,9719.827,100.0,0.0
,-1.0,1645.8428,854.398,100.0,0.0
,-1.0,7356.738,3995.7637,100.0,0.0
,-1.0,11870.352,11101.25,100.0,0.0
,-1.0,6280.111,6025.3633,100.0,0.0
,-1.0,2659.1555,8825.269,100.0,0.0
,-1.0,13656.708,505.1324,100.0,0.0
,-1.0,5149.4937,7719.974,100.0,0.0
,-1.0,4030.1836,4002.1045,100.0,0.0
,-1.0,14475.764,6748.665,100.0,0.0
,-1.0,426.51862,14985.827,100.0,0.0
,-1.0,10532.853,10826.987,100.0,0.0
,-1.0,1513.4481,9000.331,100.0,0.0
,-1.0,2381.5798,4084.088,100.0,0.0
,-1.0,13946.08,1570.3914,100.0,0.0
,-1.0,4035.9797,7057.699,100.0,0.0
,-1.0,8648.606,13302.231,100.0,0.0
,-1.0,7561.5015,1603.843,100.0,0.0
,-1.0,9664.381,5237.733,100.0,0.0
,-1.0,6041.16,13420.769,100.0,0.0
,-1.0,2466.4458,9410.828,100.0,0.0
,-1.0,1313.1738,12948.975,100.0,0.0
,-1.0,7186.496,7464.6235,100.0,0.0
,-1.0,9463.523,111.47529,100.0,0.0
,-1.0,5130.2847,11769.152,100.0,0.0
,-1.0,2369.1362,7794.2876,100.0,0.0
,-1.0,14099.211,5055.91,100.0,0.0
,-1.0,2865.3843,9577.052,100.0,0.0
,-1.0,13937.992,9901.458,100.0,0.0
,-1.0,73.164406,4744.8394,100.0,0.0
,-1.0,6243.1636,3365.4275,100.0,0.0
,-1.0,3518.0112,6828.9014,100.0,0.0
,-1.0,11272.32,4557.134,100.0,0.0
,-1.0,14843.16,11417.374,100.0,0.0
,-1.0,1624.327,7380.3823,100.0,0.0
,-1.0,9330.993,5874.625,100.0,0.0
,-1.0,11660.677,3120.5793,100.0,0.0
,-1.0,10258.202,8334.966,100.0,0.0
,-1.0,7711.4062,14996.431,100.0,0.0
,-1.0,9208.966,4364.419,100.0,0.0
,-1.0,12768.497,1326.7029,100.0,0.0
,-1.0,3231.3877,7281.6743,100.0,0.0
,-1.0,2388.1396,11258.936,100.0,0.0
,-1.0,13753.89,3111.855,100.0,0.0
,-1.0,2282.272,191.78867,100.0,0.0
,-1.0,5072.9004,13626.364,100.0,0.0
